Name,id,Bells,Location,Time,Season,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec
Anchovy,1,$200.00,Ocean,4am - 9pm,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec,
Angelfish,2,$3000.00,River,4pm - 9am,,,,,May,June,July,Aug,Sept,Oct,,,
Arapaima,3,$10000.00,River,4pm - 9am,,,,,,June,July,Aug,Sept,,,,
Arowana,4,$10000.00,River,4pm - 9am,,,,,,June,July,Aug,Sept,,,,
Barred Knifejaw,5,$5000.00,Sea,All Day,,,Mar,April,May,June,July,Aug,Sept,Oct,Nov,,
Barreleye,6,$15000.00,Sea,9pm - 4am,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec,
Betta,7,$2500.00,River,9am - 4pm,,,,,May,June,July,Aug,Sept,,,,
Bitterling,8,$900.00,River,All Day,Jan,Feb,Mar,,,,,,,,Nov,Dec,
Black Bass,9,$400.00,River,All Day,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec,
Blowfish,10,$5000.00,Sea,9pm - 4am,Jan,Feb,,,,,,,,,Nov,Dec,
Blue Marlin,11,$10000.00,Pier,All Day,Jan,Feb,Mar,April,,June,July,Aug,Sept,,Nov,Dec,
Bluegill,12,$180.00,River,9am - 4pm,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec,
Butterfly Fish,13,$1000.00,Sea,All Day,,,,April,May,June,July,Aug,Sept,,,,
Carp,14,$300.00,River,All Day,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec,
Catfish,15,$800.00,Pond,4pm - 9am,,,,,May,June,July,Aug,Sept,Oct,,,
Char,16,$3800.00,River,4pm - 9am,,,Mar,April,May,June,,Aug,Sept,Oct,Nov,,
Cherry Salmon,17,$1000.00,River (Clifftop),All Day,,,Mar,April,May,June,,,Sept,Oct,Nov,,
Clownfish,18,$650.00,Ocean,All Day,,,,April,May,June,July,Aug,Sept,,,,
Coelacanth,19,$15000.00,Sea (Rainy Days),All Day,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec,
Crawfish,20,$200.00,Pond,All Day,,,,April,May,June,July,Aug,Sept,,,,
Crucian Carp,21,$160.00,River,All Day,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec,
Dab,22,$300.00,Ocean,All Day,Jan,Feb,Mar,April,,,,,,Oct,Nov,Dec,
Dace,23,$240.00,River,4pm - 9am,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec,
Dorado,24,$15000.00,River,4am - 9pm,,,,,,June,July,Aug,Sept,,,,
Football Fish,25,$2500.00,Sea,4pm - 9am,Jan,Feb,Mar,,,,,,,,Nov,Dec,
Freshwater Goby,26,$400.00,River,4pm - 9am,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec,
Frog,27,,Pond,All Day,,,,,May,June,July,Aug,,,,,
Gar,28,$6000.00,Pond,4pm - 9am,,,,,,June,July,Aug,Sept,,,,
Giant Snakehead,29,,Pond,9am - 4pm,,,,,May,June,July,Aug,,,,,
Giant Trevally,30,,Pier,All Day,,,,,May,June,July,Aug,Sept,Oct,,,
Golden Trout,31,$15000.00,River (Clifftop),4pm - 9am,,,Mar,April,May,,,,Sept,Oct,Nov,,
Goldfish,32,$1300.00,Pond,All Day,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec,
Great White Shark,33,$15000.00,Sea,4pm - 9am,,,,,,June,July,Aug,Sept,,,,
Guppy,34,$1300.00,River,9am - 4pm,,,,April,May,June,July,Aug,Sept,Oct,Nov,,
Hammerhead Shark,35,$8000.00,Sea,4pm - 9am,,,,,,June,July,Aug,Sept,,,,
Horse Mackerel,36,$150.00,Sea,All Day,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec,
Killifish,37,$300.00,Pond,All Day,,,,April,May,June,July,Aug,,,,,
King Salmon,38,$1800.00,River (Mouth),All Day,,,,,,,,,Sept,,,,
Koi,39,$4000.00,Pond,4pm - 9am,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec,
Loach,40,$400.00,River,All Day,,,Mar,April,May,,,,,,,,
Mahi-Mahi,41,$6000.00,Pier,,,,,,May,June,July,Aug,Sept,Oct,,,
Mitten Crab,42,$2000.00,River,4pm - 9am,,,,,,,,,Sept,Oct,Nov,,
Moray Eel,43,$2000.00,Sea,All Day,,,,,,,,Aug,Sept,Oct,,,
Napoleonfish,44,$10000.00,Sea,4am - 9pm,,,,,,,July,Aug,,,,,
Neon Tetra,45,$500.00,River,9am - 4pm,,,,April,May,June,July,Aug,Sept,Oct,Nov,,
Nibble Fish,46,$1500.00,River,9am - 4pm,,,,,May,June,July,Aug,Sept,,,,
Oarfish,47,$9000.00,Sea,All Day,Jan,Feb,Mar,April,May,,,,,,,Dec,
Ocean Sunfish,48,$4000.00,Sea,4am - 9pm,,,,,,,July,Aug,Sept,,,,
Olive Flounder,49,$800.00,Ocean,All Day,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec,
Pale Chub,50,$200.00,River,9am - 4pm,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec,
Pike,51,$1800.00,River,All Day,,,,,,,,,Sept,Oct,Nov,Dec,
Piranha,52,$2500.00,River,9am - 4pm & 9pm - 4am,,,,,,June,July,Aug,Sept,,,,
Pond Smelt,53,,River,All Day,Jan,Feb,,,,,,,,,,Dec,
Pop-eyed Goldfish,54,$1300.00,Pond,9am - 4pm,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec,
Puffer Fish,55,$250.00,Sea,All Day,,,,,,,July,Aug,Sept,,,,
Rainbow Fish,56,$800.00,River,9am - 4pm,,,,,May,June,July,Aug,Sept,Oct,,,
Ranchu Goldfish,57,$4500.00,Pond,9am - 4pm,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec,
Ray,58,$3000.00,Sea,4am - 9pm,,,,,,,,Aug,Sept,Oct,Nov,,
Red Snapper,59,$3000.00,Sea,All Day,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec,
Ribbon Eel,60,$600.00,Sea,All Day,,,,,,June,July,Aug,Sept,Oct,,,
Saddled Bichir,61,$4000.00,River,9pm - 4am,,,,,,June,July,Aug,Sept,,,,
Salmon,62,$700.00,River (Mouth),All Day,,,,,,,,,Sept,,,,
